#Top: top_module   Floorplan: impl_1   Part: xczu7ev-ffvc1156-2-e
#Generated by: PC   on: Sat Feb 15 16:59:46 2025
#Build: Vivado v2024.1.2   by: xbuild   on: Thu Sep  5 14:37:11 MDT 2024
#Package Version: PRODUCTION 1.2 10/30/2017
#Package Pin Delay Version: PRODUCTION 1.0 9/2/2016

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,OFFSET_CONTROL,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM_ADV,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
65,AE24,IOB_X2Y141,IO_L18N_T2U_N11_AD2N_65,130.582,131.894,,,,,,,,,,,,,,,,,,,,,
65,AE23,IOB_X2Y140,IO_L18P_T2U_N10_AD2P_65,126.489,127.760,,,,,,,,,,,,,,,,,,,,,
65,AE19,IOB_X2Y144,IO_L19N_T3L_N1_DBC_AD9N_65,112.439,113.569,,,,,,,,,,,,,,,,,,,,,
65,AE18,IOB_X2Y143,IO_L19P_T3L_N0_DBC_AD9P_65,112.974,114.110,,,,,,,,,,,,,,,,,,,,,
65,AC19,IOB_X2Y146,IO_L20N_T3L_N3_AD1N_65,117.990,119.176,,,,,,,,,,,,,,,,,,,,,
65,AB19,IOB_X2Y145,IO_L20P_T3L_N2_AD1P_65,123.072,124.309,,,,,,,,,,,,,,,,,,,,,
65,AD20,IOB_X2Y147,IO_L21P_T3L_N4_AD8P_65,107.053,108.129,,,,,,,,,,,,,,,,,,,,,
65,AB18,IOB_X2Y150,IO_L22N_T3U_N7_DBC_AD0N_65,134.620,135.973,,,,,,,,,,,,,,,,,,,,,
65,AD19,IOB_X2Y152,IO_L23N_T3U_N9_65,109.939,111.044,,,,,,,,,,,,,,,,,,,,,
65,AC18,IOB_X2Y151,IO_L23P_T3U_N8_I2C_SCLK_65,109.352,110.451,,,,,,,,,,,,,,,,,,,,,
65,AB20,,VREF_65,,,,,,,,,,,,,,,,,,,,,,,
65,AF19,,VCCO_65,,,,,,,,,,,,,,,,,,,,,VCCO_65,1.20,
65,AG22,,VCCO_65,,,,,,,,,,,,,,,,,,,,,VCCO_65,1.20,
65,AK21,,VCCO_65,,,,,,,,,,,,,,,,,,,,,VCCO_65,1.20,
66,AP8,IOB_X2Y168,IO_T0U_N12_VRP_66,203.019,205.059,,,,,,,,,,,,,,,,,,,,,
66,AM13,IOB_X2Y181,IO_T1U_N12_66,162.317,163.949,,,,,,,,,,,,,,,,,,,,,
66,AH8,IOB_X2Y194,IO_T2U_N12_66,179.679,181.485,,,,,,,,,,,,,,,,,,,,,
66,AC14,IOB_X2Y207,IO_T3U_N12_66,151.776,153.301,,,,,,,,,,,,,,,,,,,,,
66,AP12,IOB_X2Y157,IO_L1N_T0L_N1_DBC_66,176.018,177.787,,,,,,,,,,,,,,,,,,,,,
66,AN12,IOB_X2Y156,IO_L1P_T0L_N0_DBC_66,176.820,178.597,,,,,,,,,,,,,,,,,,,,,
66,AP9,IOB_X2Y159,IO_L2N_T0L_N3_66,189.881,191.789,,,,,,,,,,,,,,,,,,,,,
